order_id;token_id;image_url;coin;amount_sold;updated_timestamp
210536652;2424;https://assets.illuvium-game.io/illuvidex/land/land-2424.svg;USDC;91317.45;2022-06-23T14:29:34.913467Z
210530260;13998;https://assets.illuvium-game.io/illuvidex/land/land-13998.svg;ETH;15.75;2022-06-23T13:49:41.717157Z
210526508;31019;https://assets.illuvium-game.io/illuvidex/land/land-31019.svg;ETH;1.575;2022-06-23T13:25:28.938286Z
210526456;3748;https://assets.illuvium-game.io/illuvidex/land/land-3748.svg;ETH;1.575;2022-06-23T13:25:08.690661Z
210526422;79345;https://assets.illuvium-game.io/illuvidex/land/land-79345.svg;ETH;1.575;2022-06-23T13:24:57.217827Z
210511870;58234;https://assets.illuvium-game.io/illuvidex/land/land-58234.svg;USDC;826.8;2022-06-23T11:43:54.903299Z
210507167;34549;https://assets.illuvium-game.io/illuvidex/land/land-34549.svg;ETH;1.05;2022-06-23T11:10:19.011473Z
210505851;85976;https://assets.illuvium-game.io/illuvidex/land/land-85976.svg;ETH;1.05;2022-06-23T11:01:55.195332Z
210505789;62525;https://assets.illuvium-game.io/illuvidex/land/land-62525.svg;ETH;1.05;2022-06-23T11:01:21.790023Z
210499721;86702;https://assets.illuvium-game.io/illuvidex/land/land-86702.svg;ETH;8.4;2022-06-23T10:20:22.482381Z
210499699;37849;https://assets.illuvium-game.io/illuvidex/land/land-37849.svg;ETH;8.4;2022-06-23T10:20:09.684704Z
210499679;80139;https://assets.illuvium-game.io/illuvidex/land/land-80139.svg;ETH;8.4;2022-06-23T10:19:55.116702Z
210499435;65272;https://assets.illuvium-game.io/illuvidex/land/land-65272.svg;ETH;2.499;2022-06-23T10:18:24.158242Z
210499375;74876;https://assets.illuvium-game.io/illuvidex/land/land-74876.svg;ETH;1.995;2022-06-23T10:18:00.382346Z
210499225;23467;https://assets.illuvium-game.io/illuvidex/land/land-23467.svg;ETH;1.995;2022-06-23T10:17:03.970405Z
210499167;13928;https://assets.illuvium-game.io/illuvidex/land/land-13928.svg;ETH;1.9845;2022-06-23T10:16:41.660544Z
210499105;46397;https://assets.illuvium-game.io/illuvidex/land/land-46397.svg;ETH;1.9635;2022-06-23T10:16:15.328244Z
210498761;59822;https://assets.illuvium-game.io/illuvidex/land/land-59822.svg;ETH;0.945;2022-06-23T10:13:47.161751Z
210498729;52593;https://assets.illuvium-game.io/illuvidex/land/land-52593.svg;ETH;0.945;2022-06-23T10:13:33.204377Z
210497715;8032;https://assets.illuvium-game.io/illuvidex/land/land-8032.svg;ETH;16.854;2022-06-23T10:07:16.559724Z
210497573;5958;https://assets.illuvium-game.io/illuvidex/land/land-5958.svg;ETH;11.554;2022-06-23T10:06:25.883681Z
210488701;22214;https://assets.illuvium-game.io/illuvidex/land/land-22214.svg;ETH;0.7875;2022-06-23T09:06:35.125482Z
210482341;35754;https://assets.illuvium-game.io/illuvidex/land/land-35754.svg;ETH;2.94;2022-06-23T08:27:08.99354Z
